id,day,date,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti
51,2,2020-02-26,ITA,3,Lombardia,45.46679409,9.190347404,79,25,104,145,249,18,18,0,9
52,2,2020-02-26,ITA,11,Marche,43.61675973,13.5188753,1,0,1,0,1,1,1,0,0
53,2,2020-02-26,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0
54,2,2020-02-26,ITA,21,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,0
55,2,2020-02-26,ITA,22,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0
56,2,2020-02-26,ITA,1,Piemonte,45.0732745,7.680687483,2,0,2,1,3,0,0,0,0
57,2,2020-02-26,ITA,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0
58,2,2020-02-26,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0
59,2,2020-02-26,ITA,19,Sicilia,38.11569725,13.3623567,1,0,1,2,3,0,0,0,0
60,2,2020-02-26,ITA,9,Toscana,43.76923077,11.25588885,2,0,2,0,2,0,0,0,0
61,2,2020-02-26,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0
62,2,2020-02-26,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0
63,2,2020-02-26,ITA,5,Veneto,45.43490485,12.33845213,16,8,24,45,69,27,28,0,2
64,3,2020-02-27,ITA,13,Abruzzo,42.35122196,13.39843823,1,0,1,0,1,1,1,0,0
65,3,2020-02-27,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0
66,3,2020-02-27,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,0,0,0,0,0,0
67,3,2020-02-27,ITA,15,Campania,40.83956555,14.25084984,2,0,2,1,3,3,3,0,0
68,3,2020-02-27,ITA,8,Emilia-Romagna,44.49436681,11.3417208,36,6,42,54,96,50,50,0,1
69,3,2020-02-27,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,0,0,0
70,3,2020-02-27,ITA,12,Lazio,41.89277044,12.48366722,0,0,0,0,0,0,0,3,0
71,3,2020-02-27,ITA,7,Liguria,44.41149315,8.9326992,9,0,9,10,19,8,8,0,0
72,3,2020-02-27,ITA,3,Lombardia,45.46679409,9.190347404,172,41,213,136,349,100,145,40,14
73,3,2020-02-27,ITA,11,Marche,43.61675973,13.5188753,2,1,3,0,3,2,2,0,0
74,3,2020-02-27,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0
75,3,2020-02-27,ITA,21,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,0
76,3,2020-02-27,ITA,22,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0
77,3,2020-02-27,ITA,1,Piemonte,45.0732745,7.680687483,2,0,2,0,2,-1,-1,0,0
78,3,2020-02-27,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,0,1,1,1,0,0
79,3,2020-02-27,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0
80,3,2020-02-27,ITA,19,Sicilia,38.11569725,13.3623567,1,0,1,1,2,-1,1,2,0
81,3,2020-02-27,ITA,9,Toscana,43.76923077,11.25588885,2,0,2,0,2,0,0,0,0
82,3,2020-02-27,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0
83,3,2020-02-27,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0
84,3,2020-02-27,ITA,5,Veneto,45.43490485,12.33845213,19,8,27,82,109,40,40,0,2
85,4,2020-02-28,ITA,13,Abruzzo,42.35122196,13.39843823,1,0,1,0,1,0,0,0,0
86,4,2020-02-28,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0
87,4,2020-02-28,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,1,1,0,0
88,4,2020-02-28,ITA,15,Campania,40.83956555,14.25084984,2,0,2,2,4,1,1,0,0
89,4,2020-02-28,ITA,8,Emilia-Romagna,44.49436681,11.3417208,56,6,62,81,143,47,48,0,2
90,4,2020-02-28,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,0,0,0
91,4,2020-02-28,ITA,12,Lazio,41.89277044,12.48366722,0,0,0,0,0,0,0,3,0
92,4,2020-02-28,ITA,7,Liguria,44.41149315,8.9326992,9,0,9,10,19,0,0,0,0
93,4,2020-02-28,ITA,3,Lombardia,45.46679409,9.190347404,235,47,282,192,474,125,128,40,17
94,4,2020-02-28,ITA,11,Marche,43.61675973,13.5188753,3,2,5,1,6,3,3,0,0
95,4,2020-02-28,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0
96,4,2020-02-28,ITA,21,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,0
97,4,2020-02-28,ITA,22,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0
98,4,2020-02-28,ITA,1,Piemonte,45.0732745,7.680687483,7,0,7,4,11,9,9,0,0
99,4,2020-02-28,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,2,3,2,2,0,0
100,4,2020-02-28,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0
101,4,2020-02-28,ITA,19,Sicilia,38.11569725,13.3623567,1,0,1,1,2,0,0,2,0
102,4,2020-02-28,ITA,9,Toscana,43.76923077,11.25588885,5,0,5,2,7,5,6,1,0
103,4,2020-02-28,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0
104,4,2020-02-28,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0
105,4,2020-02-28,ITA,5,Veneto,45.43490485,12.33845213,24,9,33,116,149,40,40,0,2
106,5,2020-02-29,ITA,13,Abruzzo,42.35122196,13.39843823,2,0,2,0,2,1,1,0,0
107,5,2020-02-29,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0
108,5,2020-02-29,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,0,0,0
109,5,2020-02-29,ITA,15,Campania,40.83956555,14.25084984,3,0,3,10,13,9,9,0,0
110,5,2020-02-29,ITA,8,Emilia-Romagna,44.49436681,11.3417208,86,11,97,116,213,70,72,0,4
111,5,2020-02-29,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,0,0,0
112,5,2020-02-29,ITA,12,Lazio,41.89277044,12.48366722,3,0,3,0,3,3,3,3,0
113,5,2020-02-29,ITA,7,Liguria,44.41149315,8.9326992,4,1,5,33,38,19,23,4,0
114,5,2020-02-29,ITA,3,Lombardia,45.46679409,9.190347404,256,80,336,216,552,78,84,40,23
115,5,2020-02-29,ITA,11,Marche,43.61675973,13.5188753,6,2,8,3,11,5,5,0,0
116,5,2020-02-29,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0
117,5,2020-02-29,ITA,21,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,0
118,5,2020-02-29,ITA,22,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0
119,5,2020-02-29,ITA,1,Piemonte,45.0732745,7.680687483,7,0,7,4,11,0,0,0,0
120,5,2020-02-29,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,2,3,0,0,0,0
121,5,2020-02-29,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0
122,5,2020-02-29,ITA,19,Sicilia,38.11569725,13.3623567,1,0,1,1,2,0,0,2,0
123,5,2020-02-29,ITA,9,Toscana,43.76923077,11.25588885,7,0,7,3,10,3,3,1,0
124,5,2020-02-29,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0
125,5,2020-02-29,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0
126,5,2020-02-29,ITA,5,Veneto,45.43490485,12.33845213,24,11,35,154,189,40,40,0,2
127,6,2020-03-01,ITA,13,Abruzzo,42.35122196,13.39843823,3,0,3,2,5,3,3,0,0
128,6,2020-03-01,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0
129,6,2020-03-01,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,0,0,0
130,6,2020-03-01,ITA,15,Campania,40.83956555,14.25084984,4,0,4,13,17,4,4,0,0
131,6,2020-03-01,ITA,8,Emilia-Romagna,44.49436681,11.3417208,127,13,140,137,277,64,68,0,8
132,6,2020-03-01,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,6,6,6,6,0,0
133,6,2020-03-01,ITA,12,Lazio,41.89277044,12.48366722,3,0,3,0,3,0,0,3,0
134,6,2020-03-01,ITA,7,Liguria,44.41149315,8.9326992,12,1,13,8,21,-17,-17,4,0
135,6,2020-03-01,ITA,3,Lombardia,45.46679409,9.190347404,406,106,512,375,887,335,369,73,24
136,6,2020-03-01,ITA,11,Marche,43.61675973,13.5188753,12,5,17,8,25,14,14,0,0
137,6,2020-03-01,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0
138,6,2020-03-01,ITA,21,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,0
139,6,2020-03-01,ITA,22,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0
140,6,2020-03-01,ITA,1,Piemonte,45.0732745,7.680687483,11,2,13,36,49,38,38,0,0
141,6,2020-03-01,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,2,3,0,0,0,0
142,6,2020-03-01,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0
143,6,2020-03-01,ITA,19,Sicilia,38.11569725,13.3623567,1,0,1,6,7,5,5,2,0
144,6,2020-03-01,ITA,9,Toscana,43.76923077,11.25588885,7,0,7,5,12,2,2,1,0
145,6,2020-03-01,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,2,2,2,2,0,0
146,6,2020-03-01,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0
147,6,2020-03-01,ITA,5,Veneto,45.43490485,12.33845213,51,13,64,197,261,72,72,0,2
148,7,2020-03-02,ITA,13,Abruzzo,42.35122196,13.39843823,3,0,3,2,5,0,0,0,0
149,7,2020-03-02,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0
150,7,2020-03-02,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,0,0,0
151,7,2020-03-02,ITA,15,Campania,40.83956555,14.25084984,4,0,4,13,17,0,0,0,0
152,7,2020-03-02,ITA,8,Emilia-Romagna,44.49436681,11.3417208,148,16,164,160,324,47,50,0,11
153,7,2020-03-02,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,9,9,3,3,0,0
154,7,2020-03-02,ITA,12,Lazio,41.89277044,12.48366722,3,0,3,1,4,1,1,3,0
155,7,2020-03-02,ITA,7,Liguria,44.41149315,8.9326992,12,1,13,5,18,-3,-3,4,0
156,7,2020-03-02,ITA,3,Lombardia,45.46679409,9.190347404,478,127,605,472,1077,190,270,139,38
157,7,2020-03-02,ITA,11,Marche,43.61675973,13.5188753,17,6,23,11,34,9,10,0,1
158,7,2020-03-02,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0
159,7,2020-03-02,ITA,21,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,0
160,7,2020-03-02,ITA,22,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0
161,7,2020-03-02,ITA,1,Piemonte,45.0732745,7.680687483,12,2,14,37,51,2,2,0,0
162,7,2020-03-02,ITA,16,Puglia,41.12559576,16.86736689,2,0,2,2,4,1,1,0,0
163,7,2020-03-02,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0
164,7,2020-03-02,ITA,19,Sicilia,38.11569725,13.3623567,2,0,2,3,5,-2,-2,2,0
165,7,2020-03-02,ITA,9,Toscana,43.76923077,11.25588885,7,0,7,5,12,0,0,1,0
166,7,2020-03-02,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,2,2,0,0,0,0
167,7,2020-03-02,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0
168,7,2020-03-02,ITA,5,Veneto,45.43490485,12.33845213,53,14,67,204,271,10,10,0,2
169,8,2020-03-03,ITA,13,Abruzzo,42.35122196,13.39843823,5,0,5,1,6,1,1,0,0
170,8,2020-03-03,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,1,1,1,1,0,0
171,8,2020-03-03,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,0,0,0
172,8,2020-03-03,ITA,15,Campania,40.83956555,14.25084984,11,0,11,19,30,13,13,0,0
173,8,2020-03-03,ITA,8,Emilia-Romagna,44.49436681,11.3417208,187,24,211,187,398,74,85,4,18
174,8,2020-03-03,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,1,0,1,12,13,4,4,0,0
175,8,2020-03-03,ITA,12,Lazio,41.89277044,12.48366722,10,0,10,1,11,7,7,3,0
176,8,2020-03-03,ITA,7,Liguria,44.41149315,8.9326992,12,2,14,5,19,1,2,4,1
177,8,2020-03-03,ITA,3,Lombardia,45.46679409,9.190347404,698,167,865,461,1326,249,266,139,55
178,8,2020-03-03,ITA,11,Marche,43.61675973,13.5188753,27,13,40,19,59,25,26,0,2
179,8,2020-03-03,ITA,14,Molise,41.55774754,14.65916051,3,0,3,0,3,3,3,0,0
180,8,2020-03-03,ITA,21,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,0
181,8,2020-03-03,ITA,22,P.A. Trento,46.06893511,11.12123097,1,0,1,3,4,4,4,0,0
182,8,2020-03-03,ITA,1,Piemonte,45.0732745,7.680687483,13,3,16,40,56,5,5,0,0
183,8,2020-03-03,ITA,16,Puglia,41.12559576,16.86736689,2,0,2,4,6,2,2,0,0
184,8,2020-03-03,ITA,20,Sardegna,39.21531192,9.110616306,1,0,1,0,1,1,1,0,0
185,8,2020-03-03,ITA,19,Sicilia,38.11569725,13.3623567,2,0,2,3,5,0,0,2,0
186,8,2020-03-03,ITA,9,Toscana,43.76923077,11.25588885,10,0,10,8,18,6,6,1,0
187,8,2020-03-03,ITA,10,Umbria,43.10675841,12.38824698,1,1,2,6,8,6,6,0,0
188,8,2020-03-03,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0,0,0
189,8,2020-03-03,ITA,5,Veneto,45.43490485,12.33845213,49,19,68,229,297,26,34,7,3
190,9,2020-03-04,ITA,13,Abruzzo,42.35122196,13.39843823,7,0,7,0,7,1,1,0,0
191,9,2020-03-04,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,1,1,0,0,0,0
192,9,2020-03-04,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,0,0,0
193,9,2020-03-04,ITA,15,Campania,40.83956555,14.25084984,11,0,11,20,31,1,1,0,0
194,9,2020-03-04,ITA,8,Emilia-Romagna,44.49436681,11.3417208,256,26,282,234,516,118,124,6,22
195,9,2020-03-04,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,3,0,3,15,18,5,5,0,0
